,name,copy
137,ＳＯＭＰＯひまわり生命保険株式会社 | ★完全週休2日(土日祝)＋安心の固定給 ★1月入社大歓迎,【ライフカウンセラー】★月給30万円 ★業界未経験OK ★年齢不問 正社員
138,株式会社E-reason | ★IDDグループ★残業ほぼなし★完全週休2日制★ドコモと業務提携,ドコモから依頼されたサービスの【営業職】毎年2万円昇給♪ 正社員
139,株式会社テクトン | WEB面接可／年間休日125日／土日祝休み／残業少なめ,現実を見ながらキャリア・スキルアップを応援！【ITエンジニア】 正社員
140,株式会社ジー・エス・ティー | 月8～11日休み,コロナウィルス対策中！正規ディーラーで【営業】の仕事 正社員
141,株式会社エージェントゲート | Web面談実施中★年間休日130日★Python／Java／Rubyなど案件多数,【プログラマ】*ずっとPGを続けて収入UP*全員面談*残業基本ゼロ 正社員
142,株式会社NEXT ONE | 未経験入社98％/初年度年収680万円以上も可能/UIJターンも歓迎！,【総合職(企画営業)】経験不問★中卒・高卒も歓迎★男性活躍中！ 正社員
143,株式会社リノベーション | 《 ZEH化を下支えする企業 》未経験OK／年収1000万円も可,【 営業 】未経験でも月給30万円～／社員寮あり(月3万円) 正社員
144,"株式会社DIPS | ""なりたい自分”の実現を全力でサポートします★20代社員活躍中",【提案営業】★月給28万円★土日休み★WEB面接も可能★社宅完備 正社員
145,"洛陽交運株式会社 | ヤサカグループ／月額17,000円～即入寮できる社宅あり！",京都での新スタートを応援【タクシードライバー】年休120日以上 正社員
146,株式会社ジーアフター | ◆最高売上更新！注目の成長企業 ◆未経験スタートが8割以上！,完全反響型！中古車の【営業】◆未経験でも月給30万円スタート！ 正社員
147,株式会社アーバンライク | 【九州NO.1のハウスビルダーを目指す成長企業】多彩な特別休暇◎,未経験率80％！注文住宅の【総合職（営業／施工管理／設計）】 正社員
148,株式会社NEXT ONE | 設立以来増収増益/全国に支社・拠点展開中/転勤なし,年収2倍も可能【提案営業】◆社会人経験者募集◆営業未経験歓迎 正社員
149,株式会社MEルミナス | 今、稼ぎたい人にピッタリ! ワクワクする物や人との出会い★,稼げる×楽しく働ける！【買取STAFF】◆未経験、大歓迎！ 正社員
150,株式会社杉並モータース | 【業界屈指の好待遇】★平均月収45万円 ★有休取得率ほぼ100％,【ロードサービス】＼当社に入社して年収200万円UPの社員も！／ 正社員
151,大基興業有限会社 | 入社祝い金あり／完全週休2日・完全週休3日も選べます,月給33万円スタートもOK【メンテナンススタッフ】※ほぼ残業なし 正社員
152,株式会社エヌ事業hoop | あなたの成長を応援します！ ★年休120日以上 ★基本定時退社,建築施工の【法人営業】★月収80万円可 ★土日祝休み ★未経験OK 正社員
153,株式会社フジナガ | 当社が業界トップクラスの実績を出すまでになった道のりをご紹介,物売りではなく課題解決を提案【法人営業】完全週休2日(土日祝) 正社員
154,日産プリンス西東京販売株式会社 | 【世界の日産グループ】賞与実績4.1ヶ月★残業月平均16.2時間,多摩エリアに根ざして、自ら仕掛ける自動車販売を！【営業】 正社員
155,エムケイホールディングス株式会社 | 【大阪府緊急雇用対策に賛同】70歳まで同じ給与体系,確かな企業力で安定性抜群！【観光コンシェルジュ(ドライバー)】 正社員
156,GMO TECH株式会社 | ★東証マザーズ上場 ★面接から入社まで全てオンラインで実施！,【広告営業】未経験からWebマーケティングのスキルを習得！ 正社員
157,株式会社ロジエンス | TOYOTAグループのパートナー／●有給取得率 7割以上 ●年休121日,【サポートエンジニア】★賞与平均5.2ヵ月 & 月収例24.3万円以上 正社員
158,UTエイム株式会社 | 大阪府緊急雇用対策に賛同【東証一部上場グループ】★WEB面接OK,【総合職(製造・組立・検品等)】★関東エリア限定募集 正社員
159,株式会社京進 | 東証二部上場,"【塾教室長】将来は独立を目指し、教室長として""経営""を学べる！ 契約社員"
160,UTコミュニティ株式会社 | 大阪府緊急雇用対策に賛同【東証一部上場グループ】★WEB面接OK,カンタン作業が中心！【軽作業スタッフ】★月収34万円以上も可能 正社員
161,中西商会株式会社 | ★好きな時に働き、休みたい時に休める★1日平均3万円稼ぐ人も！,車に関する知識が少しあるだけでOK【取付スタッフ】完全直行直帰 業務委託
162,株式会社昇建 | 【大阪府緊急雇用対策に賛同】官公庁案件中心★資格取得支援あり,高収入を目指せる！【総合職（施工管理・作業スタッフ）】 正社員
163,株式会社富士ホーム | 地元不動産のエキスパート！ノルマなしで賞与50万円～300万円,【不動産売買営業】★経験・資格不問★土日祝休★残業月25H以下 正社員
164,株式会社AREAONE | 【千葉に根差した総合建築会社】経験者も未経験者も大歓迎！,＼現場へは直行直帰／ゼロから育てる前提の採用【技術系総合職】 正社員
165,株式会社京進 | 東証二部上場,【塾経営者】転職して社員になるより、独立して「社長」になる！ FCオーナー
166,株式会社アローペイント | ■20代～30代が活躍中■賞与年2回【大阪府緊急雇用対策に賛同】,変化の波を乗りこなす！日々進化を繰り返す【営業】年収1000万可 正社員
167,ナカソネ住設株式会社　 | TOTOアフターサービス正規代理店★充実の手当・インセンティブ★,【住設の施工スタッフ】★豊富な休暇制度・残業月20h程度 正社員
